Course Number,Course Name,Credit Count,Prerequisites,Color Group,General Education Goal Area
ACCT 200,Financial Accounting,3,N/A,N/A,N/A
MATH 112,"or MATH 115 or MATH 121 or MATH 130 or
MATH",181,N/A,N/A,N/A
ACCT 210,Managerial Accounting,3,N/A,N/A,N/A
ACCT 300,Intermediate Financial Accounting I,3,N/A,N/A,N/A
ACCT 330,(3.00) Individual Income Tax,3,N/A,N/A,N/A
ACCT 400,Advanced Financial Accounting,3,N/A,N/A,N/A
ACCT 301,ACCT 410 Business Income Tax,3,N/A,N/A,N/A
GERO 200W,(3.00) Family Dynamics of Aging,3,N/A,N/A,N/A
GERO 398,CPT: Co-Operative Experience,0,N/A,N/A,N/A
GERO 450,Innovations in Aging Policy,3,N/A,N/A,N/A
GERO 480,Long-Term Care Administration,3,N/A,N/A,N/A
GERO 485,"Topics in Gerontology 1-3 credits
Topics vary as announced in class schedule. May be retaken for credit if
topic is different.
GERO 487 Long-Term Care Regulatory Management",3,N/A,N/A,N/A
GERO 490,"Workshop 1-3 credits
Workshop topics vary as announced in class schedule. May be
retaken for credit.
GERO 491 In-Service 1-6 credits
GERO 497 Internship 1-6 credits
Prerequisites: Consent
GERO 498 Practicum: Nursing Home Administration 1-6 credits
For students following plan of study for nursing home administration
licensure only.
Prerequisites: by application and consent only
GERO 499 Individual Study in Gerontology 1-4 credits
The school and community health programs prepare health professionals
with expertise in health promotion and disease prevention for
employment in public health and community health agencies, health
care facilities, business, and industry and schools.
AgriBusiness & Food Innovation
AGBZ 110 Agronomy Selling Skills",3,N/A,N/A,N/A
AGBZ 111,Introduction to Agriculture Economics,3,N/A,N/A,N/A
AGBZ 315,Agronomy Finance Management,4,N/A,N/A,N/A
AGBZ 330,"AgriBusiness & Food Supply Chain Management3 credits
This course examines supply chain concepts and principles, theoretical
concepts and their application to modern and future agriculture
industries. This course will have an emphasis on regional agriculture
and food commodities as well as processed food production and
manufacturing. Professionals in the agriculture industry will be brought
into class to explain how agribusiness supply chain knowledge and
skills are essential to various sectors. Students will have an opportunity
to broaden their thinking, understanding, and professional potential
as related to the agribusiness and food industry while interacting with
professionals and facility tours. The course does not apply toward any
College of Business majors or minors. The course serves as a counterpart
to a South Central College course for ease of transfer.
202 2024-2025 Undergraduate Catalog www.mnsu.edu
AGBZ 340 Commodity Marketing Principles",3,N/A,N/A,N/A
AGBZ 345,Commodity Marketing Strategies,2,N/A,N/A,N/A
AGBZ 350,Agribusiness Transfer & Law,3,N/A,N/A,N/A
AGBZ 370,AgriBusiness Finance,3,N/A,N/A,N/A
AGBZ 371,Agricultural Technology Seminar,2,N/A,N/A,N/A
AGBZ 492,"Study Tour 1-3 credits
This course is designed to give students an opportunity to study abroad
while learning basic business principles. The course focuses on building
business knowledge in agriculture, food and trade while experiencing
these concepts in another country. The course also focuses on cultural
competency and understanding and experiencing a different culture.
An interactive activity will also take place with a company. The course
does not apply toward any College of Business majors or minors. The
course serves as a counterpart to a South Central College course for
ease of transfer.
AGBZ 496 Internship 1-4 credits
Supervised experience in agribusiness or food related organizations,
industry, state, or federal institutions. The course does not apply toward
any College of Business majors or minors. The course serves as a
counterpart to a South Central College course for ease of transfer.
American Indigenous Studies
AIS 101 Introduction to American Indigenous Studies",3,N/A,N/A,N/A
AIS 112,Elementary Ojibwe I,4,N/A,N/A,N/A
AIS 113,Elementary Ojibwe II,4,N/A,N/A,N/A
AIS 130,Introduction to Indigenous Education,3,N/A,N/A,N/A
AIS 210W,Oral Traditions,3,N/A,N/A,N/A
AIS 211,Native America to 1900,3,N/A,N/A,N/A
AIS 212,Native America 1900 to Present,3,N/A,N/A,N/A
AIS 220W,Introduction to Tribal Sovereignty,3,N/A,N/A,N/A
AIS 230W,American Indians of Minnesota,3,N/A,N/A,N/A
AIS 240W,American Indian Women,3,N/A,N/A,N/A
AIS 275,Selected Topics,3,N/A,N/A,N/A
AIS 300W,American Indian Leaders,3,N/A,N/A,N/A
AIS 330,Indigenous Education,3,N/A,N/A,N/A
AIS 340,American Indians in Film,3,N/A,N/A,N/A
AIS 360,Indigenous Peoples and Environmental Struggles,3,N/A,N/A,N/A
AIS 380,The Sacred Landscape,3,N/A,N/A,N/A
AIS 398,CPT: Co-Operative Experience,0,N/A,N/A,N/A
AIS 455,Museum Science and Representation,3,N/A,N/A,N/A
AIS 460,Behaving Like Relatives,3,N/A,N/A,N/A
AIS 475,Selected Topics,3,N/A,N/A,N/A
AIS 485,"Workshop 1-6 credits
A brief, intensive or hands on experience based in Indigenous knowledge
and methods. Variable topics.
AIS 497 Internship 1-12 credits
Field experiences in settings appropriate to the discipline of American
Indian Studies. Requires advanced standing in American Indian Studies
and consent of supervising faculty. Diverse Cultures: Gold
AIS 499 Individual Study 1-6 credits
Allows for an advanced level pursuit of special projects of research on an
independent basis. Requires coordination with a faculty member.
Anthropology
ANTH 101 Introduction to Anthropology",4,N/A,N/A,N/A
ANTH 102,Ancient Peoples,4,N/A,N/A,N/A
ANTH 120,"Forensic Science: An Anthropological Approach4 credits
This anthropology course explores the areas of anatomical forensic
science. Students will learn the techniques and methodology involved in
collection, preservation, and analysis of evidence pertaining to human
remains. The course will include such subjects as analysis of skeletal
trauma, victim identification, bite-mark analysis, and crime scene
recovery methods. Ethnics and standards in medico-legal investigations
will also be stressed.
ANTH 210 Introduction to Archaeology",4,N/A,N/A,N/A
ANTH 220,Human Origins,4,N/A,N/A,N/A
ANTH 230,Peoples and Cultures of the World,4,N/A,N/A,N/A
ANTH 240,Language and Culture,4,N/A,N/A,N/A
ANTH 245,The Social Life of Swearing,4,N/A,N/A,N/A
ANTH 250W,Portraits of Culture,4,N/A,N/A,N/A
ANTH 260,"Vampires, Werewolves, and Zombies: Folklore
of Fear",4,N/A,N/A,N/A
ANTH 261,"Taboos, Tattoos, and T-Shirts: Culture and
Body Art",4,N/A,N/A,N/A
ANTH 269,Anthropology of Sex,4,N/A,N/A,N/A
ANTH 280,Engaged Anthropology,3,N/A,N/A,N/A
ANTH 285,"Special Topics 1-3 credits
Courses to be offered just one time or on an irregular basis according to
topic demand for a general interest, sophomore level course.
ANTH 290 Exploratory Studies 1-3 credits
Individual study at an introductory level on the topic of student’s choice.
Designed for students who wish to pursue independent study at the
freshman-sophomore level rather than the more advanced level of the
499 individual study.
Prerequisites: Consent
ANTH 300 Introduction to Anthropology Methods",4,N/A,N/A,N/A
ANTH 101,ANTH 311 Ancient Egypt,4,N/A,N/A,N/A
ANTH 323,Primate Behavior,4,N/A,N/A,N/A
ANTH 332,Anthropology of Religion,4,N/A,N/A,N/A
ANTH 333,Ethnographic Film,3,N/A,N/A,N/A
ANTH 335,People and Cultures of Sub-Saharan Africa,4,N/A,N/A,N/A
ANTH 340,Language and Power,4,N/A,N/A,N/A
ANTH 360,Business Anthropology,4,N/A,N/A,N/A
ANTH 361,Foodways,4,N/A,N/A,N/A
ANTH 398,CPT: Co-Operative Experience,0,N/A,N/A,N/A
ANTH 410,Archaeology of Minnesota,4,N/A,N/A,N/A
ANTH 411,Archaeology of Native North America,4,N/A,N/A,N/A
ANTH 412,Archaeology of Latin America,4,N/A,N/A,N/A
ANTH 414,Museology,4,N/A,N/A,N/A
ANTH 415,Cultural Resource Management,4,N/A,N/A,N/A
ANTH 210,"or consent
ANTH 416 Archeological Methods",4,N/A,N/A,N/A
ANTH 417,Quaternary Environments and Climatic Change,4,N/A,N/A,N/A
ANTH 418,"Agricultural Systems and Environmental Change4 credits
This course examines the history of agricultural systems in worldwide
perspective, with an emphasis on understanding their social and
environmental contexts and the effects on them of climate change.
Case examples will highlight the conditions under which agricultural
systems emerge, thrive, and fail, and the impacts of these processes on
human populations.
ANTH 420 Human Osteology",4,N/A,N/A,N/A
ANTH 421W,"Health, Culture, and Disease",4,N/A,N/A,N/A
ANTH 422,Forensic Anthropology,4,N/A,N/A,N/A
ANTH 420,ANTH 424 Bioarchaeology,4,N/A,N/A,N/A
ANTH 425W,Anthropology of Death,4,N/A,N/A,N/A
ANTH 430,Peoples and Cultures of Latin America,4,N/A,N/A,N/A
ANTH 431,Applied Cultural Research,3,N/A,N/A,N/A
ETHN 150,"or consent.
ANTH 432 Kinship, Marriage and Family",3,N/A,N/A,N/A
ANTH 433,Anthropology of Gender,4,N/A,N/A,N/A
ANTH 436W,Anthropology of Aging,4,N/A,N/A,N/A
ANTH 437,Applied Anthropology,4,N/A,N/A,N/A
ANTH 439,Qualitative Research Methods,4,N/A,N/A,N/A
ANTH 443W,People and Cultures of East Asia,4,N/A,N/A,N/A
ANTH 475,Senior Thesis,3,N/A,N/A,N/A
ANTH 480,"Fieldwork: Archaeology/Ethnology 3-6 credits
Field experience in which method and theory are learned through
participation in an ongoing field project.
Prerequisites: Consent, or one of: ANTH 101, ANTH 102, or ANTH",220,N/A,N/A,N/A
